,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
451,2022-10-29,Towson,Monmouth,Kessler Stadium,"West Long Branch, NJ",FCS,"(40.2903891, -74.0176381)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
452,2022-10-29,Towson,Monmouth,Kessler Stadium,"West Long Branch, NJ",FCS,"(40.2903891, -74.0176381)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
453,2022-10-29,Charleston Southern,Kennesaw State,Fifth Third Bank Stadium,"Kennesaw, GA",FCS,"(34.0234337, -84.6154897)",2022-10-30,Carolina Panthers,Atlanta Falcons,Mercedes-Benz Stadium,"Atlanta, GA",NFL,"(33.7489924, -84.3902644)",,,,,,,
454,2022-10-29,Georgetown,Lafayette,Fisher Stadium,"Easton, PA",FCS,"(40.6916081, -75.2099866)",2022-10-30,New England Patriots,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)",,,,,,,
455,2022-10-29,Georgetown,Lafayette,Fisher Stadium,"Easton, PA",FCS,"(40.6916081, -75.2099866)",2022-10-30,Pittsburgh Steelers,Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, PA",NFL,"(39.9527237, -75.1635262)",,,,,,,
456,2022-10-29,Morehead State,Butler,Bud and Jackie Sellick Bowl,"Indianapolis, IN",FCS,"(39.7683331, -86.1583502)",2022-10-30,Washington Commanders,Indianapolis Colts,Lucas Oil Stadium,"Indianapolis, IN",NFL,"(39.7683331, -86.1583502)",,,,,,,
457,2022-10-29,Long Island University,Duquesne,Arthur J. Rooney Athletic Field,"Pittsburgh, PA",FCS,"(40.4416941, -79.9900861)",2022-11-01,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",,,,,,,
458,2022-10-29,Coastal Carolina,Marshall,Joan C. Edwards Stadium,"Huntington, WV",FBS,"(38.4192496, -82.445154)",2022-11-01,Buffalo,Ohio,Peden Stadium,"Athens, OH",FBS,"(39.3289242, -82.1012479)",,,,,,,
459,2022-10-29,Old Dominion,Georgia State,Center Parc Stadium,"Atlanta, GA",FBS,"(33.7489924, -84.3902644)",2022-10-30,Carolina Panthers,Atlanta Falcons,Mercedes-Benz Stadium,"Atlanta, GA",NFL,"(33.7489924, -84.3902644)",,,,,,,
460,2022-10-29,Charlotte,Rice,Rice Stadium,"Houston, TX",FBS,"(29.7589382, -95.3676974)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
